seed,tau_s,interval,group,flight_id,cohort,n_origins,axis,component,error_mse,rmse,true_amplitude,pred_amplitude,cross_term
17,0.05,0_500ms,ALL,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,182,r,slow,0.012239366461835348,0.11063167024787861,0.16641511386596575,0.15786013615025093,0.0036606411760609302
17,0.05,0_500ms,ALL,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,182,r,fast,0.004793657574271205,0.06923624465748561,0.06251582901964681,0.04333002583544012,0.0036606411760609302
17,0.05,0_500ms,ALL,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,160,p,raw,0.28810698439807536,0.5367559821726027,0.9540965174750657,0.8054908961595832,0.0819962686534653
17,0.05,0_500ms,ALL,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,160,p,slow,0.05824175181581113,0.2413332795447224,0.736416174069886,0.7002826930524922,0.0819962686534653
17,0.05,0_500ms,ALL,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,160,p,fast,0.14786896392879895,0.3845373374963723,0.4590605367660607,0.2665451749448247,0.0819962686534653
17,0.05,0_500ms,ALL,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,160,q,raw,0.04726858727671778,0.21741340178728122,0.6814641673659093,0.6658565591279585,0.01068015160029688
17,0.05,0_500ms,ALL,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,160,q,slow,0.0182726285421412,0.13517628690765698,0.5348989146718983,0.5240555223751767,0.01068015160029688
17,0.05,0_500ms,ALL,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,160,q,fast,0.018315807134279702,0.13533590482307237,0.3168761202930859,0.3068747934207774,0.01068015160029688
17,0.05,0_500ms,ALL,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,160,r,raw,0.01971197360912924,0.1403993362132786,0.21096472858289367,0.18369430816008595,0.0034014874385461607
17,0.05,0_500ms,ALL,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,160,r,slow,0.011884736737108591,0.10901713964835343,0.18255923266759183,0.1624117584420335,0.0034014874385461607
17,0.05,0_500ms,ALL,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,160,r,fast,0.004425749433474492,0.06652630632670427,0.06449478790158186,0.04426214735416746,0.0034014874385461607
17,0.05,0_500ms,ALL,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,161,p,raw,0.2885791522140083,0.5371956368158702,0.8663943983664538,0.6801244021594192,0.08101606369974877
17,0.05,0_500ms,ALL,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,161,p,slow,0.06192032308768486,0.24883794543373977,0.6546328457700036,0.5944929844105088,0.08101606369974877
17,0.05,0_500ms,ALL,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,161,p,fast,0.14564276542657464,0.3816317143878043,0.43332850271233986,0.22252278533754064,0.08101606369974877
17,0.05,0_500ms,ALL,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,161,q,raw,0.05069430140922214,0.2251539504632822,0.6773505849812953,0.6594463723258701,0.012111042790878063
17,0.05,0_500ms,ALL,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,161,q,slow,0.01922128848222082,0.13864086151716173,0.5230058082861949,0.5164601341313121,0.012111042790878063
17,0.05,0_500ms,ALL,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,161,q,fast,0.019361970136123237,0.13914729654622557,0.32823669755571855,0.31074879335453603,0.012111042790878063
17,0.05,0_500ms,ALL,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,161,r,raw,0.023612059140319715,0.15366215910340358,0.20919896178803132,0.19164438977198825,0.004258609633558408
17,0.05,0_500ms,ALL,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,161,r,slow,0.01379516416165155,0.11745281674634947,0.1775424724711905,0.17095955362260656,0.004258609633558408
17,0.05,0_500ms,ALL,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,161,r,fast,0.005558285345109755,0.0745539089861139,0.06881716095095995,0.04709477370074443,0.004258609633558408
17,0.05,0_500ms,ALL,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,150,p,raw,0.2629467846055599,0.5127833700555819,0.8138113358583626,0.6488987030722485,0.07481031020161669
17,0.05,0_500ms,ALL,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,150,p,slow,0.04979927276935061,0.22315750663903425,0.6112898492515273,0.562524418618619,0.07481031020161669
17,0.05,0_500ms,ALL,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,150,p,fast,0.13833720163459262,0.3719370936523979,0.4081596216559353,0.21936071459297413,0.07481031020161669
17,0.05,0_500ms,ALL,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,150,q,raw,0.05200678167019841,0.2280499543306212,0.6691616977166907,0.6431591451537209,0.012050800257344759
17,0.05,0_500ms,ALL,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,150,q,slow,0.019543442261817368,0.13979786215038256,0.5106129652908687,0.4987088055678543,0.012050800257344759
