tau_s,interval,group,cohort,axis,component,seed,rmse,true_amplitude,pred_amplitude,error_mse,cross_term
0.05,0_500ms,high,Sep7,p,fast,23,0.3873590215386751,0.43690329476540807,0.25061602820899825,0.1505888799477663,0.08444996451303804
0.05,0_500ms,high,Sep7,p,fast,42,0.38881535220547564,0.43690329476540807,0.2546163447700242,0.15170280607430012,0.08587084741444209
0.05,0_500ms,high,Sep7,p,raw,17,0.5483100724372952,0.9034792304286346,0.7575324412079328,0.3013942979169164,0.08522908450109948
0.05,0_500ms,high,Sep7,p,raw,23,0.5438817315581913,0.9034792304286346,0.7508081223132101,0.2967586150497856,0.08444996451303804
0.05,0_500ms,high,Sep7,p,raw,42,0.5488033171902049,0.9034792304286346,0.7594807737790232,0.3021522960934671,0.08587084741444209
0.05,0_500ms,high,Sep7,p,slow,17,0.2543184463476374,0.6922809857815952,0.6598057597199548,0.06495053996908694,0.08522908450109948
0.05,0_500ms,high,Sep7,p,slow,23,0.24784205333100776,0.6922809857815952,0.654754947268537,0.06171977058898131,0.08444996451303804
0.05,0_500ms,high,Sep7,p,slow,42,0.25327738618795403,0.6922809857815952,0.6614675465489361,0.06457864260472486,0.08587084741444209
0.05,0_500ms,high,Sep7,q,fast,17,0.1508168372895401,0.3271861575849107,0.2978264179624672,0.02304284275338278,0.015454954465885767
0.05,0_500ms,high,Sep7,q,fast,23,0.15264354290951404,0.3271861575849107,0.2937769412299094,0.02364580131709067,0.01565598859442734
0.05,0_500ms,high,Sep7,q,fast,42,0.1477893615765642,0.3271861575849107,0.295096875664705,0.02221409310370034,0.014551027615522365
0.05,0_500ms,high,Sep7,q,raw,17,0.254447807198389,0.7392397760537177,0.6919095741419681,0.066284415481722,0.015454954465885767
0.05,0_500ms,high,Sep7,q,raw,23,0.2573151664770708,0.7392397760537177,0.6902012403927488,0.06768507489385764,0.01565598859442734
0.05,0_500ms,high,Sep7,q,raw,42,0.24923683011306538,0.7392397760537177,0.699389960881995,0.06357423821062846,0.014551027615522365
0.05,0_500ms,high,Sep7,q,slow,17,0.16350651252135082,0.5905427793181774,0.5595285407486966,0.027786618262453447,0.015454954465885767
0.05,0_500ms,high,Sep7,q,slow,23,0.16555163639199,0.5905427793181774,0.5609692716626198,0.02838328498233964,0.01565598859442734
